web-scraper-order,web-scraper-start-url,pin
"1612788117-49","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560048"
"1612788117-66","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560065"
"1612788117-24","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560022"
"1612788117-43","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560041"
"1612788117-15","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560013"
"1612788117-77","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560076"
"1612788117-108","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560109"
"1612788117-30","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560028"
"1612788117-128","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","635124"
"1612788117-2","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","530068"
"1612788117-45","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560043"
"1612788117-68","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560067"
"1612788117-126","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","563160"
"1612788117-115","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","562107"
"1612788117-85","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560084"
"1612788117-101","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560100"
"1612788117-100","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560099"
"1612788117-5","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560003"
"1612788117-52","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560051"
"1612788117-35","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560033"
"1612788117-40","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560038"
"1612788117-50","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560049"
"1612788117-97","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560096"
"1612788117-32","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560030"
"1612788117-31","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560029"
"1612788117-12","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560010"
"1612788117-119","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","562123"
"1612788117-29","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560027"
"1612788117-125","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","562162"
"1612788117-114","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","561229"
"1612788117-74","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560073"
"1612788117-87","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560086"
"1612788117-96","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560095"
"1612788117-71","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560070"
"1612788117-105","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560105"
"1612788117-8","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560006"
"1612788117-61","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560060"
